"time","pa.Gp","pa.Ip","rag.Qgut","rag.Qsto1","rag.Qsto2","der(pa.Gp)","der(pa.Ip)","der(rag.Qgut)","der(rag.Qsto1)","der(rag.Qsto2)","pa.G","pa.I","pu.err","rag.Qsto","rag.Rameal","gen.delta","pu.insulin_out","pu.z","gen.meal_off","gen.meal_on","pu.fail","pa.Rameal","pa.insulin_from_pump","pu.glucose","rag.delta"
0,127,2.538,0,0,0,-12.76858,37.8462,0,0,0,127,53.99999999999999,27,0,0,0,0,0,0,0,0,0,0,127,0
0,127,2.538,0,0,0,-12.76858,37.8462,0,0,0,127,53.99999999999999,27,0,0,0,0,0,0,0,0,0,0,127,0
0,127,2.538,0,0,0,-771.5260268085108,28117.8462,0,10500,0,127,597500.8085106383,27,0,0,100,28080,2.7,0,1,0,0,28080,127,100
0.1,67.24510198891754,2799.331333702639,0.008307745635612498,1046.380591482652,3.611081469542444,-448.5294318600365,27820.24039722641,0.2487580938486522,10427.69510112855,72.05537314190589,67.24510198891754,657007.0496532476,-32.75489801108246,1049.991672952195,6.947627987304258e-06,100,28080,2.7,0,1,0,6.947627987304258e-06,28080,67.24510198891754,100
0.1,67.24510198891754,2799.331333702639,0.008307745635612498,1046.380591482652,3.611081469542444,-46.77571614752489,-259.7596027735886,0.2487580938486522,10427.69510112855,72.05537314190589,67.24510198891754,59560.24114260934,-32.75489801108246,1049.991672952195,6.947627987304258e-06,100,0,-0.5754898011082461,0,1,0,6.947627987304258e-06,0,67.24510198891754,100
0.2,62.7438567371529,2773.41666162304,0.0660810402040687,2085.555616979761,14.37799580453811,-43.29771823069472,-258.5185091411582,0.9874136219787277,10355.8881068667,143.1183736232079,62.7438567371529,59008.86514091575,-37.2561432628471,2099.933612784299,5.526246282552648e-05,100,0,-0.5754898011082461,0,1,0,5.526246282552648e-05,0,62.7438567371529,100
0.2,62.7438567371529,2773.41666162304,0.0660810402040687,2085.555616979761,14.37799580453811,-43.29771823069472,-258.5185091411582,0.9874136219787277,10355.8881068667,143.1183736232079,62.7438567371529,59008.86514091575,-37.2561432628471,2099.933612784299,5.526246282552648e-05,100,0,-4.301104127392955,0,1,0,5.526246282552648e-05,0,62.7438567371529,100
0.3,58.57629506602596,2747.63053823492,0.2217433593351132,3117.574695321794,32.20201905094277,-40.09775413580088,-257.1901653036842,2.204670430017581,10284.57558855326,213.1992519303158,58.57629506602596,58460.22421776425,-41.42370493397404,3149.776714372737,0.0001854402429837894,100,0,-4.301104127392955,0,1,0,0.0001854402429837894,0,58.57629506602596,100
0.3,58.57629506602596,2747.63053823492,0.2217433593351132,3117.574695321794,32.20201905094277,-40.09775413580088,-257.1901653036842,2.204670430017581,10284.57558855326,213.1992519303158,58.57629506602596,58460.22421776425,-41.42370493397404,3149.776714372737,0.0001854402429837894,100,0,-8.443474620790358,0,1,0,0.0001854402429837894,0,58.57629506602596,100
0.4,54.71586100843115,2721.981241949523,0.522597285830777,4142.487103654977,56.98544759079383,-37.15125963396969,-255.7833658924229,3.889406439313089,10213.75414113744,282.308164434035,54.71586100843115,57914.49450956432,-45.28413899156885,4199.472551245771,0.0004370393231062693,100,0,-8.443474620790358,0,1,0,0.0004370393231062693,0,54.71586100843115,100
0.4,54.71586100843115,2721.981241949523,0.522597285830777,4142.487103654977,56.98544759079383,-37.15125963396969,-255.7833658924229,3.889406439313089,10213.75414113744,282.308164434035,54.71586100843115,57914.49450956432,-45.28413899156885,4199.472551245771,0.0004370393231062693,100,0,-12.97188851994724,0,1,0,0.0004370393231062693,0,54.71586100843115,100
0.5,51.13834346785165,2696.47621170031,1.014841804737834,5160.341779794194,88.63158877121204,-34.43586611782525,-254.3061181296755,6.030671401332976,10143.42038301622,350.455174199688,51.13834346785165,57371.83429149595,-48.86165653214835,5248.973368565406,0.0008486951375904895,100,0,-12.97188851994724,0,1,0,0.0008486951375904895,0,51.13834346785165,100
0.5,51.13834346785165,2696.47621170031,1.014841804737834,5160.341779794194,88.63158877121204,-34.43586611782525,-254.3061181296755,6.030671401332976,10143.42038301622,350.455174199688,51.13834346785165,57371.83429149595,-48.86165653214835,5248.973368565406,0.0008486951375904895,100,0,-17.85805417316208,0,1,0,0.0008486951375904895,0,51.13834346785165,100
0.6,47.82166694286876,2671.122122112368,1.743589375172733,6171.18732455969,127.0447516140801,-31.93119815098997,-252.7657121283762,8.617684678266972,10073.57095587292,417.6502517905416,47.82166694286876,56832.38557685889,-52.17833305713124,6298.23207617377,0.001458134477467462,100,0,-17.85805417316208,0,1,0,0.001458134477467462,0,47.82166694286876,100
0.6,47.82166694286876,2671.122122112368,1.743589375172733,6171.18732455969,127.0447516140801,-31.93119815098997,-252.7657121283762,8.617684678266972,10073.57095587292,417.6502517905416,47.82166694286876,56832.38557685889,-52.17833305713124,6298.23207617377,0.001458134477467462,100,0,-23.0758874788752,0,1,0,0.001458134477467462,0,47.82166694286876,100
0.7,44.74570154241417,2645.92495196997,2.752882781504926,7175.072004097668,172.1302376057315,-29.61868981034676,-251.1687847342728,11.63983304954499,10004.20252451685,483.9032760645928,44.74570154241417,56296.27557382915,-55.25429845758583,7347.2022417034,0.002302189582762969,100,0,-23.0758874788752,0,1,0,0.002302189582762969,0,44.74570154241417,100
0.7,44.74570154241417,2645.92495196997,2.752882781504926,7175.072004097668,172.1302376057315,-29.61868981034676,-251.1687847342728,11.63983304954499,10004.20252451685,483.9032760645928,44.74570154241417,56296.27557382915,-55.25429845758583,7347.2022417034,0.002302189582762969,100,0,-28.60131732463379,0,1,0,0.002302189582762969,0,44.74570154241417,100
0.7999999999999999,41.89209049810876,2620.890046597572,4.085711766475971,8172.043752184924,223.794331565988,-27.48141813166692,-249.5213775103245,15.08666854398739,9935.311776724022,549.2240349647684,41.89209049810876,55763.61801271429,-58.10790950189124,8395.838083750912,0.003416812052495392,100,0,-28.60131732463379,0,1,0,0.003416812052495392,0,41.89209049810876,100
0.7999999999999999,41.89209049810876,2620.890046597572,4.085711766475971,8172.043752184924,223.794331565988,-27.48141813166692,-249.5213775103245,15.08666854398739,9935.311776724022,549.2240349647684,41.89209049810876,55763.61801271429,-58.10790950189124,8395.838083750912,0.003416812052495392,100,0,-34.41210827482291,0,1,0,0.003416812052495392,0,41.89209049810876,100
0.8999999999999999,39.24409354217953,2596.022174712327,5.784029448803555,9162.150172517595,281.9442925958907,-25.50395210400207,-247.8289894085789,18.9479062973066,9866.895423079035,613.6222263025898,39.24409354217953,55234.51435558144,-60.75590645782047,9444.094465113485,0.004837086574441911,100,0,-34.41210827482291,0,1,0,0.004837086574441911,0,39.24409354217953,100
0.8999999999999999,39.24409354217953,2596.022174712327,5.784029448803555,9162.150172517595,281.9442925958907,-25.50395210400207,-247.8289894085789,18.9479062973066,9866.895423079035,613.6222263025898,39.24409354217953,55234.51435558144,-60.75590645782047,9444.094465113485,0.004837086574441911,100,0,-40.48769892060496,0,1,0,0.004837086574441911,0,39.24409354217953,100
0.9999999999999999,36.78644466844077,2571.325580254213,7.888768527791649,10145.43854098416,346.4883451034716,-23.67221578636546,-246.0966246248891,23.21342243468194,9798.950196817994,677.1074585353554,36.78644466844077,54709.05489902582,-63.21355533155923,10491.92688608763,0.006597244476781512,100,0,-40.48769892060496,0,1,0,0.006597244476781512,0,36.78644466844077,100
